01;Alternative Rock / Metal
02;Art Pop / Synthpop
03;bill wurtz
04;Black Metal
05;Britpop
06;Classique Contemporain
07;Death Metal Mélodique
08;Doom / Gothic Metal
09;Electro / Ambient / Downtempo
10;Electro / House / New Funk
11;Electro / Electropop
12;Electro / Techno / Nu Jazz
13;Folk / Pop / Rock
14;FR
15;Grunge
16;Guitare
17;Hard Rock / Heavy Metal
18;Hip-Hop
19;Indie Folk
20;Indie Pop / Indie Rock
21;Jazz / Classique
22;Jazz / Contemporain
23;Jazz / Piano
24;Metal Progressif / Death Metal
26;Noël
28;OST / Divers
29;Pop Rock
30;Post-Metal
31;Post-Punk / New Wave
32;Post-Rock
33;Power Metal
34;Punk / Post-Hardcore
35;Punk Rock / Ska
36;R&B
37;Reggae
38;Rock Progressif
39;Rock Progressif Moderne
40;Rock Psychédélique
41;Slowcore
42;Soul / Funk
43;Trip-Hop
44;World Music
45;XTC
46;The Beatles
48;Death Metal / Thrash Metal
49;J-Pop / J-Rock
50;Alex G
